,MonthPE,Date,Season,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_GHI,Daily_radiation
2020-06-06,6,2020-06-06,Spring,15.237499999999999,12.70625,48.75,993.6125,269.9375,5.4,328.4375,418.3125,212.75
2020-06-07,6,2020-06-07,Spring,16.16875,16.5125,55.3125,998.80625,266.8125,2.74375,21.0,265.75,250.8125
2020-06-08,6,2020-06-08,Spring,16.741176470588236,19.323529411764707,54.1764705882353,1004.3411764705882,95.23529411764706,3.6999999999999997,88.0,282.7647058823529,236.88235294117646
2020-06-09,6,2020-06-09,Spring,15.3875,15.775,57.0,1007.46875,180.5625,3.64375,42.5,253.375,230.875
2020-06-10,6,2020-06-10,Spring,17.1,18.7125,48.875,1004.4625,268.6875,2.28125,162.9375,333.625,236.125
2020-06-11,6,2020-06-11,Spring,19.0625,22.31875,51.5,996.54375,102.75,3.3,189.625,387.3125,246.125
2020-06-12,6,2020-06-12,Spring,17.61875,24.2375,67.4375,992.34375,146.9375,5.48125,74.5625,215.6875,191.0625
2020-06-13,6,2020-06-13,Spring,19.725,22.325,54.8125,999.05,177.9375,4.10625,262.6875,383.1875,229.75
2020-06-14,6,2020-06-14,Spring,18.929411764705883,21.8,59.705882352941174,1005.2352941176471,209.7058823529412,3.511764705882353,51.88235294117647,251.7058823529412,228.52941176470588
2020-06-15,6,2020-06-15,Spring,18.86875,25.31875,62.1875,1006.825,209.5,3.5625,72.0625,310.75,265.75
2020-06-16,6,2020-06-16,Spring,19.475,24.15625,58.0,1003.99375,212.125,2.68125,105.25,338.4375,261.75
2020-06-17,6,2020-06-17,Spring,18.725,21.55625,58.375,1001.46875,213.1875,2.3375,26.4375,277.375,267.1875
2020-06-18,6,2020-06-18,Spring,18.33125,22.04375,59.8125,1001.2625,217.8125,3.9,184.125,353.125,246.6875
2020-06-19,6,2020-06-19,Spring,18.51764705882353,21.75294117647059,57.470588235294116,1006.9058823529413,237.1764705882353,3.429411764705882,169.47058823529412,250.41176470588235,178.05882352941177
2020-06-20,6,2020-06-20,Summer,20.70625,24.375,53.125,1009.99375,234.3125,1.94375,177.875,343.8125,261.6875
2020-06-21,6,2020-06-21,Summer,18.84375,28.056250000000002,68.8125,1010.25,241.375,4.06875,51.1875,268.625,239.9375
2020-06-22,6,2020-06-22,Summer,20.541176470588233,16.764705882352942,46.470588235294116,1015.1882352941177,220.05882352941177,1.6235294117647059,618.0,492.7647058823529,86.6470588235294
2020-06-23,6,2020-06-23,Summer,23.66470588235294,19.905882352941177,46.470588235294116,1011.9823529411765,69.76470588235294,3.111764705882353,570.8235294117648,483.52941176470586,95.82352941176471
2020-06-24,6,2020-06-24,Summer,26.21764705882353,20.241176470588236,45.705882352941174,1007.2647058823529,94.3529411764706,3.8882352941176466,631.5294117647059,491.2352941176471,80.11764705882354
2020-06-25,6,2020-06-25,Summer,27.564705882352943,29.205882352941178,46.0,1002.9352941176471,114.11764705882354,2.7235294117647055,488.1764705882353,455.4117647058824,124.23529411764706
2020-06-26,6,2020-06-26,Summer,25.1125,34.70625,60.0,1000.46875,239.625,4.05,129.25,315.6875,212.1875
2020-06-27,6,2020-06-27,Summer,20.8,27.43125,65.125,1000.75625,218.5625,5.8625,79.5625,220.0,190.125
2020-06-28,6,2020-06-28,Summer,19.09375,20.94375,55.6875,1004.81875,240.125,4.675,120.5625,323.375,253.0625
2020-06-29,6,2020-06-29,Summer,17.99375,15.50625,52.6875,1005.025,262.5625,4.6875,337.75,422.625,241.5625
2020-06-30,6,2020-06-30,Summer,19.3625,31.075,64.75,1001.6625,224.5625,4.66875,56.4375,259.9375,233.5
2020-07-01,7,2020-07-01,Summer,21.61875,29.4125,65.0625,998.76875,240.5,4.6375,74.75,221.875,190.6875
2020-07-02,7,2020-07-02,Summer,18.95,21.1125,57.875,1003.69375,272.375,4.00625,68.375,269.5,230.5
2020-07-03,7,2020-07-03,Summer,18.447058823529414,20.458823529411767,57.88235294117647,1009.364705882353,260.05882352941177,3.2941176470588234,198.35294117647058,329.7647058823529,237.35294117647058
2020-07-04,7,2020-07-04,Summer,18.5375,37.975,69.1875,1008.03125,229.375,5.2875,33.125,263.1875,238.1875
2020-07-05,7,2020-07-05,Summer,20.55625,27.70625,72.25,1006.36875,249.8125,5.30625,32.9375,225.5,213.0625
2020-07-06,7,2020-07-06,Summer,17.09375,14.675,52.9375,1010.575,299.4375,4.1875,400.375,427.9375,212.0
2020-07-07,7,2020-07-07,Summer,20.55625,19.8125,42.875,1010.30625,285.875,2.05,640.75,504.875,100.3125
2020-07-08,7,2020-07-08,Summer,21.125,33.5625,56.0,1007.39375,279.875,3.23125,448.25,438.4375,172.875
2020-07-09,7,2020-07-09,Summer,25.18125,28.13125,51.5625,1004.2375,245.875,3.6375,589.0625,485.5,110.4375
2020-07-10,7,2020-07-10,Summer,19.4875,22.35,58.0,1006.0625,303.6875,4.10625,139.5625,296.625,230.8125
2020-07-11,7,2020-07-11,Summer,19.68125,13.91875,41.5,1014.0375,71.1875,3.2,490.125,466.0,166.1875
2020-07-12,7,2020-07-12,Summer,20.431250000000002,13.4,43.125,1014.70625,39.6875,3.40625,639.8125,510.375,90.375
2020-07-13,7,2020-07-13,Summer,22.29375,18.11875,40.5,1011.25,179.25,3.3,613.3125,500.9375,91.375
2020-07-14,7,2020-07-14,Summer,19.8875,28.7875,53.125,1005.83125,295.25,2.6875,31.5625,256.9375,234.875
2020-07-15,7,2020-07-15,Summer,19.04375,29.18125,59.5625,1005.45625,305.25,2.86875,6.625,250.0,245.125
2020-07-16,7,2020-07-16,Summer,18.55625,29.8875,66.75,1009.34375,300.875,2.7,0.4375,174.1875,173.9375
2020-07-17,7,2020-07-17,Summer,22.0,25.5625,54.625,1010.65,330.4375,1.8125,183.9375,327.8125,226.25
2020-07-18,7,2020-07-18,Summer,24.175,19.025,45.0,1007.925,318.5625,2.05625,581.0,484.5,114.8125
2020-07-19,7,2020-07-19,Summer,25.40625,19.56875,40.0,1005.45,241.6875,1.9375,544.8125,470.625,123.125
2020-07-20,7,2020-07-20,Summer,21.5,19.75,52.5625,1008.4875,19.5,4.1875,457.375,439.75,124.125
2020-07-21,7,2020-07-21,Summer,20.9125,11.98125,39.6875,1012.2375,37.125,3.99375,681.1875,504.875,79.1875
2020-07-22,7,2020-07-22,Summer,20.84375,17.0625,37.75,1011.29375,86.125,3.2375,559.375,478.6875,106.875
2020-07-23,7,2020-07-23,Summer,23.55,24.6,36.5625,1006.35625,175.5,1.45625,384.375,422.625,160.0625
2020-07-24,7,2020-07-24,Summer,22.40625,28.01875,52.0625,1003.93125,291.0,2.9875,110.625,267.75,204.875
2020-07-25,7,2020-07-25,Summer,22.56875,32.16875,57.25,1001.6125,226.6875,4.3,113.4375,309.9375,226.5625
2020-07-26,7,2020-07-26,Summer,21.44375,21.1625,53.875,1003.6125,267.75,3.525,225.1875,367.5,238.875
2020-07-27,7,2020-07-27,Summer,25.2625,26.16875,38.8125,1000.8875,217.9375,5.21875,620.25,475.25,77.375
2020-07-28,7,2020-07-28,Summer,20.90625,17.7,48.1875,1005.76875,294.3125,4.2375,504.4375,446.1875,126.5
2020-07-29,7,2020-07-29,Summer,22.84375,18.98125,39.6875,1009.575,274.0625,1.03125,638.5,477.375,75.875
2020-07-30,7,2020-07-30,Summer,26.3,19.06875,32.625,1006.86875,93.0625,2.43125,661.6875,477.6875,69.5
2020-07-31,7,2020-07-31,Summer,31.15,32.21875,36.125,1002.01875,178.125,3.31875,299.9375,330.6875,135.75
2020-08-01,8,2020-08-01,Summer,25.1625,32.34375,54.0,1005.7875,300.5625,3.025,29.9375,269.9375,253.25
